pid,label,friend_tagg_count,comment_count,like_count,post_type,fid,created_time,message,share_count
537090766308350_1776024535748294,1,4498,1574,2040,photo,537090766308350,2017-06-21T11:07:08+0000,"【分享食刻🎉來抽冰沙果汁機】
大師系列果汁機，消費者體驗活動來囉！6/24起，伊萊克斯將於北中南的百貨公司，舉辦玩味煮義-Winnie范麗雯的廚藝課程。屆時購買大師系列果汁機也會有特別優惠喔！

👉👉活動辦法：
✨6/25前，分享本文並Tag三位好友，即可抽EBR3216冰沙果汁機！

👉👉課程場次時間：
§ 北區 6/24 (六) 14:00-16:00 板橋大遠百 7F 玩食坊
§ 中區 7/1 (六) 14:00-16:00 台中大遠百 北棟 9F 玩食坊
§ 南區 6/25 (日) 14:00-16:00 台南新光三越 新天地 B1F A區 Family Kitchen

👉👉授課老師：玩味煮義-Winnie范麗雯，身兼超人氣部落客、作家、廚藝教室老師，著作«經典義大利料理»、«料理名人的世界»、«一團到底做烘培»…等

👉👉示範料理：
薄荷鳳梨冰沙、家傳蘿蔔糕、山藥櫻花蝦煎餅、地瓜豆腐團子",1658
134004310003557_1520121918058449,1,5,42,617,photo,134004310003557,2017-05-08T04:00:00+0000,"【體　感　溫　度　爆　表】
體感溫度90度到底是能有多熱？
為對抗熱浪而準備👉 https://goo.gl/2KCXX8
　　
英國研究顯示，今年夏天太陽直逼核爆等級！
紫外線猶如生化武器，體感溫度直逼90度！
不僅過量，甚至到了危險程度！
　
專家指出
出門每吸一口氣就會有99%的中暑機率
人行道上每分鐘就能煎好一塊8分熟牛排
每0.005秒就會有87萬人因為高溫而暴怒
提醒民眾除了注意防曬，還要注意防渴！
　　
全聯因應此趨勢
飲　料　全　面　6　折　起 ！
　　
#全聯 #飲料
#90度有多熱就是比85度多5度
#邊查證記得邊配一杯涼的喝
#出門呼吸都要很小心
#有唬爛根據無科學根據
#咬我啊",11
686520461516680_746184218883637,0,0,4,171,photo,686520461516680,2017-05-23T15:11:03+0000,"報告總經理！
我只是順手拍下同事照片，然後就不小心被用到全亞洲當作板牆的輸出畫面惹；可是我有取得同事的肖像使用授權喔 (^_^)v
-
舒跑 運動你的道理小編別哭哭，北編送包包給寶寶
#背殺我同事 #想認識請喊右 #台灣之光 #肖像權愛注意",0
344867628859850_1577627282250539,0,0,0,15,album,344867628859850,2017-05-07T12:30:00+0000,"踩出你的時尚品味！
繽紛色調高跟鞋，匹配的高跟鞋提升穿搭品味
時尚奢華>>http://bit.ly/2pK6isf",1
77322222971_10154717680332972,1,0,0,0,photo,77322222971,2017-05-31T12:30:00+0000,"#Acer遊戲王 #Acer粉絲召集令 #搶救錢包計畫_PART2 
#留言加完成問券就抽筆電
　
Swift這樣用94潮！
☑輕鬆玩．輕鬆追｜來當飛盤狗狗也方便接XD
☑光滑金屬質地｜喵咪夏天散熱舒適超好眠
☑超薄14.58mm｜當菜刀江江好
☑超輕1.36kg｜當球拍 使用毫不費力
　
——搶救錢包計畫｜PART 2：留言加完成問券就抽筆電——

活動時間：5/31(三) ~ 6/9(五)　得獎公佈時間：6/17(六)
活動獎品：PART 1｜粉絲票選最高人氣筆電 Swift 1(乙台)
活動說明：
STEP1：留言寫下最kuso的筆電用途
STEP2：填寫好運旺旺問券👉 https://goo.gl/vc3csM
STEP3：等待Acer評選結果，6/17(六)將公佈得獎名單於Acer粉絲團

※注意注意！需兩階段活動都參加才具備抽獎資格喔

#完美編
　
————————　備註說明　 ————————

※　搶救錢包計畫活動獎品採隨機顏色出貨，得獎者不得指定顏色。

※　Acer保留最終核准與否及活動變更/修改或終止本活動之權力，恕不另行通知。

———————　繳納稅金說明　———————

※依中華民國稅法規定，獎項價值NT$1,001元(含)以上者，需繳交身分證影本供報稅使用，並於次年列入本年度之個人綜合所得稅申報，Acer將不再另外寄發紙本中獎所得扣繳憑單。

※獎項價值超過NT$20,000元時，依法需預先繳交10％機會中獎稅金，中獎者若非中華民國國境內設籍之國人(即在中華民國境內居住未達183天之本國人及外國人)不論中獎者所得之金額，須就中獎所得扣繳20%機會中獎稅。得獎者若不願意配合，則視為自動棄權，不具得獎資格。

※本次活動中獎者同意依台灣相關稅法規定繳納稅捐，並同意Acer得依相關法令代扣(繳納)相關稅捐。",0
338609223165_10155254376073166,1,0,1,214,photo,338609223165,2017-04-26T12:00:00+0000,"【 VOLVO 與您的影中時刻 － 花漾春盛宴】
上傳照片活動得獎名單公佈！
讚數最高得獎者是 ➨ ChienLiang Chen 
小編特選得獎者是➨ 賴俊華 

恭喜得獎者！請記得在 2017 / 5 / 25 (星期四) 晚上12:00 之前，將收件人基本資料私訊本粉絲專頁。 (若逾期則以棄權計，另以讚數次高得獎者遞補)

■得獎者如若未於指定時間內提供基本資料或未提供及提供不實個人基本資料，視同放棄得獎權利並自負其責，恕不補發獎項。■基本資料包括 : Facebook ID、收件者、寄件地址、連絡電話，(ex. David Chou.、周小明、台北市忠孝東路一段一號一樓、09xxxxxxxx) ■本活動辦法、獎項、訊息以公佈於 Volvo Car Taiwan 粉絲頁的資料為準，活動贈品以實物為準，如遇不可抗拒之因素，VOLVO 將保留更換其他等值獎項之權利。 ■ 參賽照片日後會統整成為粉絲團相簿之素材 ■ 照片獲選未來有素材需求時會另行聯絡得獎者提供檔案 ■ 如上傳有人像之照片視同放棄肖像權 ■ 參加者應確認擁有作品著作權，不得使用侵權之疑的圖像或複製他人作品。■ 國際富豪汽車保留修改本活動之權利。
#Volvo #VolvoTW #VolvoMoment",4
121641016343_10154520945206344,0,0,0,49,multi_share_fixed_text,121641016343,2017-04-18T08:32:48+0000,"還記得十年前的自己是什麼模樣嗎？ 
你希望十年後的自己看起來如何呢？ 
快點開網頁，看看人氣網紅 Angelina 與 知名藝人 路嘉欣  (Chia-Hsin LU)  
如何改變自己 #無畏時間 

#逆轉十年肌齡 #超進化黃金導航膠囊",7
110532347014_10154312121002015,1,0,2,123,photo,110532347014,2017-04-28T04:00:00+0000,"週末還沒有行程嗎？那就約媽媽一起到百貨公司購物去吧！👛
資生堂國際櫃歡慶母親節，品牌日加碼贈！🎉
於4/29 – 5/1至櫃點單筆消費任乙品（可含特惠組），立即加贈明星抗老商品：百優三次元回溯激活霜7ml (價值588元）🏆，實現拉提、緊實、撫平深層細紋三重願望，幫助肌膚對抗歲月痕跡，和媽媽一起體驗青春美肌！😚

＃母親節特惠
＃百優科技
＃資生堂國際櫃
＃我美我定義",9
286146600001_10158674055215002,0,4,25,313,photo,286146600001,2017-04-28T11:00:00+0000,"【天蠍計畫】
✅原生4K遊戲
✅6 Teraflop影像效能
✅HDR高動態範圍影像遊戲及娛樂
✅4K UHD blu-ray 播放功能
了解更多：http://bit.ly/2orDjqkXboxAsia
#ProjectScorpio #開始累積你的4K遊戲庫",14
267654926582726_1685097354838469,0,0,2,50,photo,267654926582726,2017-05-15T04:10:00+0000,"ASICS STORE TAIPEI 台北旗艦店課程首次推出女性最愛 皮拉提斯

充滿能量的慧文老師，本周四晚間與喜愛皮拉提斯及瑜珈的女性，一起放鬆身心，體驗肢體全面的放鬆和伸展。

5/18(星期四) 19:00 ，1.5小時的皮拉提斯課程，持續報名中。
報名電話→ (02)2778-7819
台北旗艦店：台北市敦化南路一段165號
更多女性訓練商品→https://goo.gl/44Cj8B",1
145649977189_10154396810212190,1,49,55,1073,video_direct_response,145649977189,2017-04-24T09:24:20+0000,"拉拉熊 / SNOOPY / LINE FRIENDS的粉絲們看過來~~
超人氣卡通明星都跑到Brother標籤機上囉
清晰簡單的介面容易操作
讓你輕鬆創作專屬於你的標籤貼紙
4月底前來ibon mart下單現折$200喔!",47
270750529766166_732448016929746,0,52,143,6360,share,270750529766166,2017-04-09T04:00:14+0000,"最狂的ALL NEW GRAND LANCER
就要找最狂的網紅來試駕
狂到讓我們祭出獨門配備「阿斯拉高質感火箭推進器」
ALL NEW GRAND LANCER的究極型態居然就這樣被公開了呀......
真有你的！皮卡忠！
 
立刻超越阿斯拉>>  https://goo.gl/jWoH9o
GRAND LANCER究極型態之秘>>  https://goo.gl/wEYs8P　
 
#Mitsubishi #中華三菱 #GRANDLANCER #鋼の探偵",0
1506514762998978_1793131057670679,0,0,0,24,animated_image_share,1506514762998978,2017-04-26T13:05:16+0000,"【第八屆花王兒童環境繪畫比賽 報名開始】
愛護環境，人人有責，身為未來的主人翁，
更需要思考環境保護的重要！
讓我們一起從繪畫中學習如何守護地球~

誠摯邀請台灣各地的小朋友們，
來報名參加國際兒童環境繪畫比賽，
如果獲得「eco together」-地球大賞，
或「eco together」-花王賞的優勝，
花王(台灣)還將邀請您一起到東京參與頒獎典禮，
得獎作品也會在東京國際展覽中心展出喔！

快來一起eco together！

詳細活動辦法與報名請至 → https://goo.gl/5DrFw5

#花王 #微笑心生活 #繪畫比賽 #兒童 #eco",4
109606182471355_1221057104659585,0,0,0,204,share,109606182471355,2017-04-17T02:58:42+0000,"Enduro套件提升了其本身的越野本領

套件包含：霧燈組（由Touratech製造）、引擎保護桿、鍊條下護版、後煞車碟盤護版、油冷排護網、水箱護網

更多Multistrada改裝部品
https://goo.gl/1aYMnu",2
121431141207349_1721167841233663,1,0,1,21,photo,121431141207349,2017-04-11T02:30:00+0000,"【十五拜拜來頂好 滿300賺30】
又到月中了，
這個月祭拜了祖先，神明也別怠慢呀~
好好感謝神明平常的保佑吧!👏👏👏
必拜好物推薦給你們--
⭕愛之味 妞妞
珍珠圓/甜八寶/蒟蒻紅豆粉粿 任選6罐$119
⭕黑松
沙士1250ml 2瓶特價$59

還有還有，
滿$300再賺$30，買越多賺越多!
買供品也要精打細算~

#拜拜來頂好 #眾神都說好 #頂好",2
124566150889508_1480403628639080,0,0,1,124,video_inline,124566150889508,2017-04-02T15:00:58+0000,"【高空三萬英呎生日趴】
搭飛機還可以參加生日Party✈✈✈
這次的機上的生日驚喜活動大成功！壽星一家人跟乘客們都笑嗨嗨 (小妹妹太可愛♥️小編已融化)
只要搭乘我們航班～下次的驚喜活動主角說不定就是你 👉🏻👉🏻👉🏻

#AirAsiaTIME 
#萬呎高空生日趴
#妹妹好萌",6
324273577645211_1579583368780886,1,9,10,270,photo,324273577645211,2017-04-28T01:44:50+0000,"【🎊 派對&歡慶 必殺絕技 🎊】

澎湃主餐😍 + 多樣炸物😘 + 好吃甜點😁
豐盛大餐的三種願望，🔥派對狂饗烤全雞餐🔥一次滿足! 
不論是部門聚會，歡慶母親節👩，或是狂歡派對
烤全雞/ 拼盤/ 蛋撻一上桌，氣氛瞬間引爆🎉

🌈同場加映KFC母親節預購活動:
即日起至5/22止，在網路上一天前預購 外送 或 外帶 滿$650，
再加贈好禮二選一滿額兌換券*唷!!

桌上有隻烤全雞，就是狂!🎁>>https://goo.gl/8nKEsZ

🎀活動說明🎀:
1. 烤全雞現點現烤，需提前90分鐘預訂
2. 好禮二選一滿額兌換券，可於下次消費外送或外帶滿$550時，免費兌換原味蛋撻禮盒一盒 或 十二塊上校雞塊

#母親節就是要吃烤全雞阿不然要幹嘛
#讓你豐盛的不要不要的
#看見雞的泡爾",18
1158410500878601_1204810082905309,0,0,1,27,note,1158410500878601,2016-09-30T04:15:42+0000,【熱炒打鐵 三人成虎】 啤酒試飲數量倒數!,2
304834096975_10154363624716976,1,51,845,2126,video_inline,304834096975,2017-05-01T04:00:00+0000,"【#一瞬千言萬語小劇場 - 為了五斗米…】
平凡瞬間在我眼裡超有態度！
米香為什麼發出了清脆的哀號聲…
用 Xperia XZs 超級慢動作就看得到！

上一篇：https://goo.gl/9ejAjo
下一篇：https://goo.gl/9aCh9R
更多XZs功能> https://goo.gl/pi3DLn
#全球首支960fps超級慢動作錄影手機
#超越每一種想像
#XZs實機拍攝

※ 5/19前【公開分享】任一則小劇場影片, 即可抽最新旗艦機 Xperia XZs !!! 活動辦法請見第一則留言。",1287
247279973061_10154394959713062,0,1,2,114,photo,247279973061,2017-04-01T13:36:30+0000,"【#日立冷氣 #愚人節真心不騙】
這是粉絲Nicole Hua在北海道阿寒湖邊拍的^_^
「到日本也不忘合照～雖然是台灣沒有的機型QQ」
這種把日立冷氣放在心裡的精神好棒💓
大家來幫這位可愛的小粉絲按個👍🏻把～",1
199628516771785_1512847278783229,1,4,7,750,video_inline,199628516771785,2017-06-23T09:10:38+0000,"M&M’s角逐蜘蛛人試鏡，又要鬧出什麼笑虧了???

『M&M’s超有戲』正式開跑👉👉  goo.gl/QLUoxL
喜歡蜘蛛人的冰友注意啦!!! 只要上傳手持M&M’s任一包裝，並模仿蜘蛛人姿勢，就有機會獲得PS4 Pro+VR、SONY手機、威秀電影票….等大獎 #注意 若持購買M&M’s任一包裝發票登入，中獎機會直接提高三倍喔!!!!

 ＃蜘蛛人返校日 ＃mm超有戲 ＃看電影配mm",29
131307770301236_1280937662004902,0,0,0,291,share,131307770301236,2017-05-28T10:00:00+0000,"眉毛可別亂畫⚠4種臉型X眉型一次告訴你
眉型教學→https://goo.gl/u6bZIC
還在畫韓妞平眉？嘿～你知道有更適合自己的眉型嗎🤔
圓臉、心形臉、長臉、鵝蛋臉~各有自己獨特的眉毛畫法唷！
畫出一些小改變就讓你看起來更完美呢(´ΘωΘ`)",38
56247409725_10155355728429726,0,0,0,15,share,56247409725,2017-05-08T14:39:00+0000,"塔拉來囉～！！
初夏來臨，節氣轉換也帶來許多嶄新能量～",0
586458848112855_1326664474092285,1,38,23,545,video_direct_response,586458848112855,2017-04-13T04:00:00+0000,"【一起飛 賞你飛  正式開鑼】
開始囉！開始囉！開始囉！

捷星台灣由今天起，2星期不間斷地天天抽獎天天送獎。
立即進入 twcampaign.jetstar.com/FlyNow 參加抽獎！
把握賞飛機會，也要分享給身邊好友一齊參加啊！

簡易3步參加方法：
Step 1: 
進入抽獎網頁
Step 2:
點擊「立即登機賞你飛」按鈕
Step 3:
另外，凡於每天指定賞飛時間進入網頁，即額外賞你多一次抽獎機會
是日賞飛時間－7月13日 峴港  BL163 中午12:10 至下午 1:10

獎品包括：
兩星期不間斷日日賞－台幣$1,200捷星機票禮劵 (名額300個)
賞你飛終極大抽獎－台幣$40,000捷星機票禮劵 (名額1個)

敬請持續關注本頻道，不定期放送搶贏攻略。

#一起飛賞你飛 #FlyNow #捷星台灣 #JetstarTaiwan #精彩由低價開始
*須受有關條款及細則約束。",48
259676855661_10154745402345662,0,0,0,169,album,259676855661,2017-06-27T05:53:50+0000,"Mos Burger「羅斯福路店」😘重新開幕✨✨✨✨

最近經過門市有沒有感到煥然一新呢，門市溫馨的色調，整潔的用餐環境，moskon下班都想去店裡休息一下~🍵🌸

門市電話:(02) 3365-2482
門市地址:台北市羅斯福路三段233號",4
211290688970664_997954933637565,0,0,1,16,album,211290688970664,2017-03-24T09:30:00+0000,"【青島啤酒X台大南友之夜】

哥喝的不是酒，是『青』春。
不管你抓的是青春的門票、還是青春的尾巴。
走吧~青島啤酒在台大南友之夜跟你乾一杯。

人生總是不如意，來箱青島全忘記  -青島啤酒-

禁止酒駕。酒後不開車 安全有保障",0
56247409725_10155285327509726,1,0,0,13,share,56247409725,2017-04-17T11:48:00+0000,"小禮堂全館８５折～
按壓式棉花棒罐現在買更划算！！",0
1589628787966129_1838467049748967,0,2,9,294,photo,1589628787966129,2017-04-15T12:30:03+0000,"狂傲，就是我的 DNA.  
#FENTYxPUMA 春夏新作叛逆襲台",7
325487968316_10154692985308317,0,0,0,6,share,325487968316,2017-06-26T00:30:05+0000,"VR (virtual reality) 發展快速，已經成為各行業的發展主要方向，對於數位行銷人員來說，如何應用最新的VR技術融入自己的業務中並且創造獨特的客戶體驗，都是未來必須突破的關卡。
http://pnw-b.ctx.ly/r/5ppdo",0
586458848112855_1287396271352439,1,3,3,267,album,586458848112855,2017-03-03T02:48:14+0000,"【限時好康】今日上午11時正開賣!

澳州新西蘭內陸機票低至澳幣$19起!!! 售完即止!
立刻加一程去沖浪🏄 賞雪⛄️餵食😝看歌劇🎶!!!

訂票網址: http://www.jetstar.com/tw/zh/home

#這不是日本 #偽文青之選 #行李加至40kg帶上全套自家裝備

(圖片來看網絡)",8
159761263417_10155204922038418,1,1213,425,422,video_inline,159761263417,2017-05-16T12:00:00+0000,"【#限時28小時】Lamigo球票大贈送!!! 👏
即日起~5/17，分享這支影片+Tag 3位好友，就送Lamigo球票2張，快Tag朋友跟小編一起到現場幫Lamigo加油吧!!! 📣

【活動說明】
活動時間: 5/16(二) 20:00-5/17(三) 23:59
活動內容: 分享這支影片+Tag 3位好友「跟吉列一起幫Lamigo加油」，就送2張5/21 Lamigo球票(西下A區)，限前150名，要搶要快，送完就沒囉!
👉記得""私訊""小編以下資料，才能寄票呦😉
姓名：
手機：
住址：

#限時28小時
#好東西就是要跟粉絲分享
#數量有限送完為止

 ⛔注意事項  ⛔
1.留言時間需在2017/5/16 20:00~2017/5/17 23:59，其它時間視為無效，一人限領一次(兩張)，座位隨機不能指定。
2. 活動截止日為2017/5/17 23:59，獎品若提前送完，活動會提前結束，且會於官方粉絲團公告。
3. 獎品會統一於5/18寄出，得獎者需私訊小編""收件者/寄送地址/聯絡方式""，活動單位寄出前會以簡訊通知，在通知領獎過程中，如因非可歸責於協辦單位之事由造成延遲、錯遞、遺失者，協辦單位概不負責。獎品於領取後，如遺失者恕不補發。
4. P&G寶僑家品保留擴大、修改、取消、終止該活動以及更改活動截止日期的權利，無需做出解釋或事前通知，但會公布於活動網站。
5.服務專線：0800-20-40-60，週一至週五9:00~12:00, 13:30~17:30",395
216988328448158_801616366652015,0,0,8,263,album,216988328448158,2017-04-17T13:30:00+0000,"DriveGuard上市後，許多消費者安裝試乘後回饋超！好！用！
小編請普利司通連鎖店老闆蒐集各式好評，一起分享給大家啦👇👇👇",10
1444147462524873_1887675618172053,0,0,0,34,album,1444147462524873,2017-05-19T05:00:00+0000,"【Expedia #新飯店推薦-🇰🇷首爾江南多米飯店】
首爾江南新選擇就在這兒👉>>https://goo.gl/lzU9A0

位於首爾江南區，購物觀光樣樣來😍
便利的交通，👣只要走幾步路就抵達捷運站🚇，想要輕鬆玩首爾，這絕對是您最佳選擇❗️

🏨而飯店提供的多種高級奢華服務也一定要嘗試✨
▶️SPA服務，釋放您旅途在外疲憊的身心靈😌
▶️高級餐廳，用料實在又精美，絕對滿足您的味蕾👄
▶️旅遊諮詢&購票服務，輕鬆玩首爾不費吹灰之力😏
▶️行李寄放服務，出遊就是要一身輕的自在☺️

🇰🇷首爾江南新選擇，非首爾江南多米飯店莫屬❗️

#用Expedia聰明玩世界 #旅遊的起點",1
286146600001_10158548097890002,0,1,1,121,photo,286146600001,2017-04-04T06:16:18+0000,"【兒童節快樂】
只要有Xbox，天天開心玩得像孩子！
#XboxOne #ChildrensDay #今天我8歲",5
142816435924517_612933432246146,1,91,1436,1460,photo,142816435924517,2017-05-17T09:30:07+0000,"【創新潮流在星展，留言抽電影票】
🎉星展BusinessClass與Google攜手合作
解析數位趨勢、解密集客策略
😃讓展編和當天出席的朋友們滿載而歸
未來，也將不斷推出豐富的創新課程內容👏
快告訴展編，您最希望跟上什麼樣的創新潮流〜

Step 1. 請按「星展銀行官方粉絲團」讚
Step 2. 說出您未來最希望星展推出『金融創新』、『數位創新』、『科技創新』或其他何種創新課程內容？Ex.「我最希望能學習科技創新課程，利用科技去幫助弱勢族群，讓社會變得更美好〜」
Step 3. 分享此篇貼文，即可抽威秀電影票一張〈共抽出 5名〉

活動期間：即日起至2017／05／26晚上11:59，得獎名單將於2017／06／02下午3:00前於星展（台灣）臉書官方帳號公佈。

活動辦法請看這：https://goo.gl/fjTlwK
#星展銀行 #星展BusinessClass #數位行銷",1476
168423776607421_1269479513168503,0,0,0,124,album,168423776607421,2017-04-28T10:22:00+0000,"【IBM X 淡江大學 X 智慧機器人】
這裡有會寫字，還能踢球射門和舉重的智慧機器人！
為因應科技潮流所帶來的需求，
AI科技龍頭IBM一向在培育國內人才上不遺餘力，
今天台灣IBM便宣布與淡江大學攜手合作，
共同培養AI人才 (y) (y) (y)

記者會上淡江大學智慧自動化與機器人中心的研究團隊展示了與IBM Watson合作的優異成果，
一起來看看現場的照片吧 ：）

#淡大的同學快來tag朋友
#IBM #TKU #IBMWatson #AI #淡江大學",22
