friend_tagg_count,pid,comment_count,like_count,post_type,fid,created_time,message,share_count
0,537090766308350_1728361453847936,3,166,video_direct_response,537090766308350,2017-05-11T12:00:00+0000,"【伊萊克斯 x 江振誠】私心料理
開始燥熱的孟夏，來碗口感綿濃的冷湯，仿佛身處南法鄉村。

【番茄鳳梨冷湯】
黃金傾角攪打出細膩的滋味，輕鬆遊走在八種智能選擇間，除了傳統的旋轉攪打外，大師系列智能調理果汁機透過上下翻滾，均勻你的食材。
goo.gl/MwR390

#江振誠 #私心料理 #伊萊克斯",22
0,188151501215824_1582973678400259,2,98,share,188151501215824,2017-06-24T04:00:00+0000,"超人氣超級粉底！新色駕到！全16色讓妳選到絕配！
不管妳是白雪肌～還是新曬的古銅肌！持久美肌就靠它！
心動速體驗→http://bit.ly/2svcLZY",0
26,152341009257_10155284409514258,23,354,video_inline,152341009257,2017-04-03T11:00:00+0000,"【春遊吃貨大集合→落櫻真繽紛】
太陽出來了，春天也來了
吃貨象和吃貨小豬好想知道春天的味道
沒想到吃貨象對著櫻花樹用力一撞
飄了好多好多花瓣下來
連櫻花生乳捲都一起掉下來了！
原來只要「奮發象上」，沒有什麼是吃不到的！
好天氣就有好食慾！

春遊吃貨大集合，系列商品吃不完
全家酷繽沙 好評熱銷中  
美味星棒棒糖 繽紛價兩支99元  
櫻花生乳捲 幸福預購中!!  
買兩支櫻花霜淇淋就送哈瑞寶Q軟糖1包!!(數量有限送完為止，3/31-4/4)

🔥Tag你身邊的吃貨好朋友「@_______，你這頭吃貨🐽快跟我一起去全家吃吃吃吃~」

# 春遊吃貨大集合
# 櫻花花瓣生乳捲
# 吃貨大象奮發象上
# 不吃則已一吃驚人",26
2,114348401956305_1337159513008515,5,524,photo,114348401956305,2017-03-14T13:00:00+0000,"《🔎奈米水離子小教室III》

連頭皮都能完整呵護？！ 

富含水份的nanoe奈米水離子除了潤澤髮絲，還可以滋潤頭皮，使頭皮遠離乾燥困擾，從頭到尾完整呵護。有了健康的頭皮，秀髮自然更健康亮麗！

奈米水離子吹風機EH-NA98：https://goo.gl/QCph4U
奈米水離子吹風機EH-NA45：https://goo.gl/oNtj4U
奈米水離子吹風機EH-NA30：https://goo.gl/FXRxFg
奈米水離子吹風機EH-NA27：https://goo.gl/q3czop

#PanasonicBeauty #Panasonic #NA98 #NA45 #NA30 #NA27 ＃奈米水離子 #nanoe",23
0,287709864938481_408441872865279,0,109,share,287709864938481,2017-04-19T11:00:00+0000,"不知道粉絲們在開車前有沒有檢查車底的習慣呢？
如果不小心出現有小朋友或小動物藏在車底的狀況
養成這項開車的好習慣
就能盡量避免憾事發生喔！
除了檢查車底外
米寶也貼心提醒各位粉絲
開車前別忘記先檢查一下愛胎唷~

#米其林關心您 #米寶伴你左右
#轉發分享與好友一同守護行車安全",7
101,131046917110_10154354358097111,110,855,video_inline,131046917110,2017-04-17T09:41:15+0000,"我是黑貓君，正在尋找有宅配潛力的萌貓~
不管你家的是萌貓？宅貓？過動貓？
不限年齡 不限花色 不限品種，有才藝的話就儘管來應徵吧！
履歷寄這邊 https://goo.gl/vVmPSZ
🎉本喵祭出優渥獎勵++經濟宅急便﹝365次無料配送﹞++
還有神秘大獎🎁
想看本喵示範，請看這邊 https://goo.gl/tvqvDW
只要簡單三步驟 1.拍影片 2.上傳 3.分享 就可以參加囉！
趕快行動吧！
**活動請依主辦單位活動網站為主**",389
0,325487968316_10154506624973317,0,5,video_share_youtube,325487968316,2017-04-21T14:13:04+0000,最新的#AdobeAudition支援更多硬體和具備更強大的影片工作流程整合功能，詳細可參考部落格文章 http://oak.ctx.ly/r/5l9pr,2
0,366439094270_10155376081089271,1,437,share,366439094270,2017-03-23T08:42:00+0000,"Lenovo X DataCore 兩大頂尖企業攜手合作👍

全新Lenovo DX8200D，結合DataCore平行運算技術軟體，儲存管理和修復任務的時間預估減少90%、精省儲存支出75%、有效提升企業10倍工作效能！

有了Lenovo，企業儲存更輕鬆簡化！

👉了解更多 >> http://lnv.gy/2mveD2p   
#LenovoServer",1
0,248954465174600_1364130730323629,5,448,video_inline,248954465174600,2017-03-25T13:00:00+0000,"今天來跟大家分享小編很喜歡的一段短片，
看到最後恍然大悟之後特別有感觸呢!
你選擇如何和大自然中的每個生命相處呢?

做出好的改變，
從現在開始。

#HV10million
#ToyotaHybrids",47
25,177612180793_10154472075895794,416,552,photo,177612180793,2017-04-04T04:00:00+0000,"【ZenPad⭐每日一劇─食神】
今天宜起灶～（小編貼心翻譯：就是適合開伙煮菜的意思啦）
想要做好菜，除了要有下廚的好心情，更要有好手藝
快看部美食電影，惡補一下廚藝吧🍴
自己親手做，只要有心，吃貨也能變食神！
 
❤大家想吃美食電影／影集中出現的什麼料理呢？
　4/7前留言，就有機會得到Zenny旅行組(市價$999)
 
#小編超想吃能當乒乓球打的瀨尿牛丸　
#挑好日　＃追好劇　＃94要追劇神器",272
1,269986596535_10154227127271536,13,1196,share,269986596535,2017-03-17T07:37:30+0000,"☃有聽過沙漠還下雪的嗎！？世界之大無奇不有，還真的有這種國家。讓旅遊攝影達人小帆帶您前往北非摩洛哥一探究竟！✈

Nikon #D5600 多種限量鏡頭組合，還送1000元 #全聯禮劵！>>https://goo.gl/fzHH67",87
0,56247409725_10155355722579726,0,0,share,56247409725,2017-05-08T14:35:00+0000,"塔拉來囉～！！
初夏來臨，節氣轉換也帶來許多嶄新能量～",0
2,124203007630468_1431942663523156,27,1131,share,124203007630468,2017-03-16T04:00:01+0000,"【JUKE 英倫跨界跑旅加贈5次免費定保】  
 
什麼？怎麼可以這樣又帥又大方的啦（揉眼睛！）  
 
沒錯，英國原裝進口的跨界跑旅NISSAN JUKE，  
全車系89.9萬元起享有50萬零利率優惠，本月限時再加贈5次免費定保唷！

快加入JUKE行列 >> https://goo.gl/8jlGRw 
 
#英倫時尚真的好有魅力
#NISSAN #JUKE",47
20,143039229176602_805693072911211,41,3881,video_inline,143039229176602,2017-05-17T09:00:00+0000,"【快點Go！ 敲可愛的星空機就要飛到芝加哥囉！】

5/31起可愛到不行的星空機要飛芝加哥了！
小潔邀請粉絲們一起跟可愛的Hello Kitty、Kiki & Lala和美樂蒂同遊，
讓你整趟旅程都有滿滿的好心情😍😍😍

而且～ 5/29起 台北 - 芝加哥 航線，天天出發！
時間安排超便利👏👏👏

👉詳情請看→https://goo.gl/EoTBis
👉網路購票→https://goo.gl/6pIkGR

#星空機5月31日起陪你飛芝加哥
#去程三五日回程一四六才有星空機喔
#EVAAir #星空機",78
1,172489456479180_353756628352461,2,772,album,172489456479180,2017-03-23T22:15:00+0000,2017年春夏太陽眼鏡系列形象廣告由蘿蒂．摩絲(Lottie Moss)演繹，卡爾(Karl Lagerfeld)親自掌鏡。 歡迎瀏覽 chanel.com/-EyewearCollection2017-tw,13
6,259676855661_10154625629690662,13,340,photo,259676855661,2017-05-21T03:00:00+0000,"【清爽開胃 活力滿點】
優格醬與鮮甜酥脆炸蝦完美結合，搭配水蜜桃與滿滿新鮮蔬菜，
清爽香甜的獨特每一口都吃得到，讓人開胃滿足的初夏美味! 

美味的摩斯在這裡↓↓↓
https://www.mos.com.tw/shop/search.aspx",10
5,1536078920006615_1870235353257635,25,1355,video_inline,1536078920006615,2017-04-05T10:00:00+0000,"【Beetle時尚戰火 持續延燒】
八色Beetle現身拉票！
擁有外在風尚，更兼具內在韻味
除了車色，你更該著迷於Beetle的態度本色！
留言告訴哥，2017 Top Beetle，你投給誰？→https://goo.gl/ZeyKTZ

🚗投票時間從4/3(一)起至4/9 (日) 23:59，我們將於4/12(三)公佈冠軍Beetle！

#福斯也愛玩",28
0,384832144896183_1291386980907357,0,46,photo,384832144896183,2017-03-20T10:00:01+0000,"🎉[明治Poifull軟糖-綜合水果/汽水口味]🎉

可愛Poifull軟糖盒裝新登場!
色彩繽紛可愛，小小一盒就有多種口味，
經典水果或是綜合汽水，你喜歡哪個?

#波波軟糖還是poifull軟糖哪個好呢

🔹多少錢👉$49
🔹哪裡買👉全家/量販/網路",0
0,593351024031652_1602105836489494,1,65,album,593351024031652,2017-06-21T03:00:00+0000,"【#周大福玩珠寶】
福編最近在找送好姐妹的禮物，發現這款珍珠玫瑰金項鍊，單顆珍珠簡約又優雅，搭配襯膚色玫瑰金鍊，好適合邁入輕熟的女孩兒呀~重點是價格很甜喔~
周大福單顆珍珠項鍊NT$9,200 這兒逛>>https://goo.gl/pSk7SF
#珍珠是女人的好朋友 #10到100歲都適合配戴 #CP值高 #送禮自用兩相宜",1
1,296096437124051_1424494860950864,1,25,album,296096437124051,2017-06-13T05:00:00+0000,"在Relux遇見日式奢華享受。
無論是清井澤、富士五湖還是北海道富良野……儘管來到避暑勝地，進入極致的悠閒慢活。有什麼能比得上獨佔整棟別墅，盡情享受假期的美妙時光呢！現於官網首次註冊並憑美國運通卡預訂住宿，輸入優惠代碼：AMEXTW07，享單筆交易金額滿JPY50,000現折JPY10,000優惠，再贈 5% Relux點數回饋。享受親密時光，立即出發 ！http://bit.ly/2qXyQvx

*相關條款及細則以活動網站公告為主",2
1,126949930763408_731205193671209,5,1629,video_inline,126949930763408,2017-05-24T10:00:00+0000,"吸引無數車迷目光的BMW大5系列－車頭燈演進順序解答為efdcbag，你答對了嗎？
 
一起回味各代車頭燈的設計特色：

第一代E12、第二代E28、第三代E34：
基本的雙圓形設計。

第四代E39：
這代是Chris Bangle設計的首款BMW車型，他為雙圓型頭燈設計了燈罩，2001年小改款後，升級為導引光圈日間行車燈組與乳白色燈眉，因為貌似天使頭上的光環，於是有「天使眼」的稱號，甚至成為BMW的經典象徵。

第五代E60：
BMW設計總監Chris Bangle，將這一代著名的「天使眼」設計革新成一大一小、一前一後的姿態，同時增加了一對亮眼的眉燈，讓車頭燈更顯氣勢。

第六代F10：
延續光環型設計，但在小改款後，頭燈改為上下平底的光環型頭燈。

第七代G30：
將傳統的雙圓形改為六角形線條，並與比例放大的雙腎形水箱護罩緊密相連，呈現更俐落、更具未來感的視覺。

看原始題目：https://goo.gl/h8JpIz",89
0,344867628859850_1567319319948002,0,8,album,344867628859850,2017-05-01T12:00:00+0000,"United Colors Of Benetton
最新時尚服飾，最質感的潮流單品
高彩度單品，豐富你的日常穿搭>> http://zlr.tw/2qll31C",0
0,333222276851431_761637504009904,0,0,new_album,333222276851431,2017-05-23T08:58:52+0000,"呼朋引伴大聲喊📢大台中海線的車迷朋友們看過來！👆
KIA沙鹿新車展示暨服務中心開幕囉！🚗🚗🚗
頂港有名聲，下港足出名，海線專屬的KIA標準規格服務中心抵沙鹿啦！
位在台灣大道七、三民路和中山路口，緊鄰沙鹿交流道，交通位置超便捷，在地服務超貼心，C/P質超高的KIA在此為大家服務！
預約試乘>>https://goo.gl/v0BE5Y
開幕資訊:http://kia.com.tw/news/news/news_20170522.html",0
1,289990318975_10155907809448976,39,1854,animated_image_share,289990318975,2017-03-22T04:00:00+0000,"保時捷  繪出精「彩」人生

夢想跑車，由我創造 !
每個人心中都住著一個孩子，不停追逐夢想! 只要您有勇氣，就可以跳脫框架，在人生畫布上恣意揮灑想像與創造力。

保時捷邀請您一起大手拉小手，打造您的夢想跑車，繪出精「彩」人生 !
1. 公開分享此貼文
2. 請前往下列連結(https://goo.gl/qpcE96)下載圖片
3. 發揮想像力著色完成後，將作品上傳到此貼文下方留言處

即日起至4/4(二)晚上23:59前，將作品上傳到此貼文下方留言處，即有機會抽中 Porsche 車款磁鐵 一組 (共5名)，更有機會獲得 保時捷 樂高模型 一組 (共1名)! 

得獎名單於4/12(三)在粉絲團公佈

【注意事項】
1. 得獎者需為 Porsche Taiwan 總代理 永業粉絲團的粉絲。 
2. 本活動僅限居住在中華民國台灣地區 (含離島) 之民眾參加。 
3. 一人限中獎一次。
4. 本活動相關細節將視參加狀況調整，以主辦單位最新公告為準，不另行個別通知。 
5. 主辦單位有權修改活動條款。",64
5,223623887656120_1496125077072655,19,625,video_inline,223623887656120,2017-04-01T04:00:00+0000,"#立即搜尋AUKER
#現在購車還有機會去參觀德國Audi原廠
想要Audi成為你的專屬司機嗎？
即日起，Audi推出全新APP “AUKER”
無論是小巧可愛的Audi A1，還是男人的夢想Audi R8
只要預約就有機會成為你的專屬座駕！",11
3,286146600001_10158755554475002,6,103,video_inline,286146600001,2017-05-15T04:45:33+0000,"【扭轉】
Xbox One科幻動作遊戲《機甲狂潮》，即將於5月16日推出。
結合高動態機甲戰鬥要素及獨特角色成長系統，在地球生命即將耗盡之時，尋求人類生存的最後之道。
立即預購：http://bit.ly/2qlk0js
#XboxOne #TheSurge #科幻版黑魂",7
2,277838997160_10154301440592161,6,390,photo,277838997160,2017-04-20T11:00:00+0000,"五月第二個星期天就是母親節囉😊
有沒有準備好禮物送給親愛的媽媽🎁🎁

三麗鷗官方授權 X 85ºC冠軍師傅研發團隊😍
Hello Kitty 系列蛋糕4/24 全面限量上市

媽媽，母親節快樂🤗🤗🤗
媽媽，謝謝您！😘😘😘

訂購詳情歡迎洽詢全台門市
還有母親節主題款蛋糕熱烈預購中👍

#平價奢華
#SweetenYourLife
#創造甜蜜的幸福滋味
詳細活動內容說明：www.85cafe.com",46
